"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description"
"AT5G46900",19.0647230881879,-1.72314015244623,0.341698632903785,-5.04286522249982,4.58612286132112e-07,0.000168643427727875,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
"AT5G44420",7.94172287199333,-3.02066257051651,0.610518005396247,-4.94770431636327,7.50938640186339e-07,0.00025605642287372,Encodes an ethylene- and jasmonate-responsive plant defensin. mRNA levels are not responsive to salicylic acid treatment; although jasmonate and salicylic acid can act synergistically to enhance the expression of this gene. Belongs to the plant defensin (PDF) family with the following members: At1g75830/PDF1.1, At5g44420/PDF1.2a, At2g26020/PDF1.2b, At5g44430/PDF1.2c, At2g26010/PDF1.3, At1g19610/PDF1.4, At1g55010/PDF1.5, At2g02120/PDF2.1, At2g02100/PDF2.2, At2g02130/PDF2.3, At1g61070/PDF2.4, At5g63660/PDF2.5, At2g02140/PDF2.6, At5g38330/PDF3.1 and At4g30070/PDF3.2. CFA-Leu, CFA-Val, CFA-Met and CFA-Ala can induce the expression of PDF.
"AT5G46890",21.586852052453,-1.6805487715405,0.339418966843639,-4.95125180295148,7.37376198329185e-07,0.00025605642287372,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
"AT3G29250",26.899726092942,-1.30540158124688,0.265385359166818,-4.91889072307988,8.70360396671144e-07,0.00029147747998519,NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)
"AT3G22840",116.9374297111,1.09663178609211,0.223184748125523,4.91356060529436,8.9437068881699e-07,0.000294263647334629,Encodes an early light-inducible protein.
"AT1G80240",24.5505958217821,1.5629228385259,0.319033509751477,4.89893002068465,9.63599533286712e-07,0.000306293994021339,DUF642 gene
"AT5G35190",116.308020483901,1.13853598917921,0.233385704212711,4.8783450255442,1.06979670383166e-06,0.000328901104650146,proline-rich extensin-like family protein;(source:Araport11)
"AT2G32270",21.6167065657843,1.6160287267176,0.332507030865255,4.8601340023167,1.17306323730565e-06,0.000349200443689369,A member of Zrt- and Irt-related protein (ZIP) family.  transcript is induced in response to zinc deficiency in the root. also response to iron deficiency.
"AT2G24720",21.1235983839983,-1.44200176315919,0.297643129463838,-4.84473391257762,1.26781473677849e-06,0.00036579380882375,member of Putative ligand-gated ion channel subunit family
"AT5G06630",91.3281431714841,1.08694553747914,0.225516704037691,4.81980056473991,1.43701803124538e-06,0.000408330850878422,proline-rich extensin-like family protein;(source:Araport11)
"AT3G14680",47.1281259747994,1.01444633447305,0.211306409010512,4.8008308845123,1.58008664998629e-06,0.000442282761699148,putative cytochrome P450
"AT5G02780",29.824892402863,-1.44973840164957,0.302339301005251,-4.7950709577925,1.62617258825171e-06,0.000442904301388767,Encodes a member of the lambda family of glutathione transferases. It has thiol transferase activity and self S-glutathionylation activity in vitro.
"AT3G59930",9.8843382590544,2.68866591451923,0.576123074942211,4.66682559935466,3.05888751041076e-06,0.000785840772195114,Encodes a defensin-like (DEFL) family protein.
"AT5G19890",16.2317051549283,1.72734873797878,0.371145820110654,4.65409724259804,3.25403215697667e-06,0.000792547000934293,Peroxidase superfamily protein;(source:Araport11)
"AT4G38860",35.1087964889564,-1.0272983811679,0.224056211370147,-4.58500291014374,4.53980112763163e-06,0.00105110407836548,SAUR-like auxin-responsive protein family;(source:Araport11)
"AT4G13390",107.185150740557,1.73184002546965,0.379424850970218,4.56438217223043,5.00967466095301e-06,0.00114574925111601,Proline-rich extensin-like family protein;(source:Araport11)
"AT5G60530",45.439447340752,1.00349752714329,0.220563518725338,4.54969857636755,5.3722815257251e-06,0.0012138767196801,late embryogenesis abundant protein-related / LEA protein-like protein;(source:Araport11)
"AT3G19430",27.7309526450584,1.56230528819067,0.346042655557982,4.51477661235579,6.338354220135e-06,0.00136574668891591,late embryogenesis abundant protein-related / LEA protein-like protein;(source:Araport11)
"AT5G57540",6.98877123966988,3.43862896930819,0.760882627360396,4.51926334714364,6.2055168033471e-06,0.00136574668891591,Encodes a xyloglucan endotransglucosylase/hydrolase with only only the endotransglucosylase (XET; EC   2.4.1.207) activity towards xyloglucan and non-detectable endohydrolytic (XEH; EC 3.2.1.151) activity.
"AT4G35160",30.9681344788228,-1.22425063917464,0.274137437195995,-4.46582798649042,7.97596763709826e-06,0.00168068873108023,Encodes a cytosolic N-acetylserotonin O-methyltransferase that can convert N-acetylserotonin to melatonin and serotonin to 5-methoxytryptamine in the process of melatonin synthesis.  It does not have caffeic acid O- methyltransferase activity.
"AT2G20520",8.41624218917386,2.46558718256013,0.552641558108275,4.46145814838824,8.14038457505536e-06,0.00169627524800654,fasciclin-like arabinogalactan-protein 6 (Fla6). Possibly involved in embryogenesis and seed development.
"AT4G28850",11.3413427143353,2.02340795022858,0.455477253650524,4.4423907758544,8.89647970029439e-06,0.00179402774515399,xyloglucan endotransglucosylase/hydrolase 26;(source:Araport11)
"AT1G18970",45.1396615583184,-1.2144539543277,0.286384636398103,-4.24063933597151,2.22884024846542e-05,0.00379997000179277,Encodes a germin-like protein with possible oxalate oxidase activity (based on GenBank record).
"AT4G37220",26.8029921185223,1.09648698219521,0.258813677717705,4.23658823546093,2.26941763285503e-05,0.00383429353933003,Cold acclimation protein WCOR413 family;(source:Araport11)
"AT4G25220",10.2509026989903,2.11886963179496,0.506262290263742,4.1853198876241,2.84764790129535e-05,0.00464389467312113,Encodes a member of the phosphate starvation-induced glycerol-3-phosphate permease gene family: AT3G47420(G3Pp1), AT4G25220(G3Pp2), AT1G30560(G3Pp3), AT4G17550(G3Pp4) and AT2G13100(G3Pp5).
"AT1G80840",14.9176516547235,1.4856880804836,0.357981635290832,4.1501796014664,3.32214497319562e-05,0.0053250860536163,Pathogen-induced transcription factor. Binds W-box sequences  in vitro. Forms protein complexes with itself and with WRKY40 and WRKY60. Coexpression with WRKY18 or WRKY60 made plants more susceptible to both P. syringae and B. cinerea. WRKY18, WRKY40, and WRKY60 have partially redundant roles in response to the hemibiotrophic bacterial pathogen Pseudomonas syringae and the necrotrophic fungal pathogen Botrytis cinerea, with WRKY18 playing a more important role than the other two. The mRNA is cell-to-cell mobile.
"AT1G14185",25.0478315459229,-1.08361511918026,0.261945438943223,-4.13679705037786,3.52187342601327e-05,0.00555035413709688,Glucose-methanol-choline (GMC) oxidoreductase family protein;(source:Araport11)
"AT4G23680",11.5714417255473,-1.65746838984325,0.401494482550115,-4.12824699187831,3.65539353312135e-05,0.00571277086001314,Polyketide cyclase/dehydrase and lipid transport superfamily protein;(source:Araport11)
"AT1G34510",2.37614259117955,4.48076487984202,1.08656065262646,4.12380557772915,3.72663490099808e-05,0.00577597611019158,Peroxidase superfamily protein;(source:Araport11)
"AT1G50060",12.2449503019394,1.67578575653498,0.415328836119279,4.03484085572548,5.46393185175934e-05,0.00819764623583157,CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein;(source:Araport11)
"AT2G26530",22.1984590028078,1.08904467200278,0.271140942197506,4.01652610327468,5.9062324625122e-05,0.00865355340640264,Pheromone receptor-like protein involved in the early elicitor signaling events which occur within minutes and include ion fluxes across the plasma membrane, activation of MPKs and the formation of ROS related to PGPS1 and WRKY33.
"AT5G38820",3.15914427880919,-4.12243873148663,1.03271035133027,-3.99186347476459,6.55561125588788e-05,0.00924390477390386,Encodes a putative amino acid transporter.
"AT1G04310",21.719062331764,1.17660238929846,0.295212004161218,3.98561837836346,6.7304611454906e-05,0.00941963196436796,encodes an ethylene receptor related to bacterial two-component histidine kinases.
"AT2G15220",30.2171878463378,-1.01476324739093,0.259039589743317,-3.91740601657247,8.95069240933635e-05,0.0120763514708413,Plant basic secretory protein (BSP) family protein;(source:Araport11)
"AT2G42060",12.611181871814,-1.54838720573876,0.395611418075423,-3.91390929329438,9.0813761619671e-05,0.0121651520386808,Cysteine/Histidine-rich C1 domain family protein;(source:Araport11)
"AT3G12900",14.7823334915404,-2.72841091016428,0.699898389620379,-3.89829573924888,9.68720644288818e-05,0.0127939344809806,S8H hydroxylates scopoletin to generate fraxetin (8-hydroxyscopoletin). Fraxetin and its oxidized analog sideretin (5-hydroxyfraxetin) are catecholic coumarins secreted into the rhizosphere under conditions of low iron availability and help mobilize this nutrient from insoluble iron(III) pools in the soil.S8H hydroxylates scopoletin to generate fraxetin (8-hydroxyscopoletin). Fraxetin and its oxidized analog sideretin (5-hydroxyfraxetin) are catecholic coumarins secreted into the rhizosphere under conditions of low iron availability and help mobilize this nutrient from insoluble iron(III) pools in the soil.
"AT2G32160",24.3895418584928,-1.38322660142014,0.369249324656089,-3.74605045712257,0.000179640474194074,0.021876476967764,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)
"AT5G01050",9.91244006818761,-1.52442684875461,0.413368851859809,-3.68781257198258,0.000226190156685756,0.0260243570459183,putative laccase,  a member of laccase family of genes (17 members in Arabidopsis).
"AT1G01190",29.1963619038676,-1.012453657922,0.274819993790824,-3.68406113382207,0.000229547148705522,0.026249556261118,cytochrome P450, family 78, subfamily A, polypeptide 8;(source:Araport11)
"AT2G24980",109.904979296423,1.13017119517266,0.307408250232876,3.67645043461425,0.00023650178082919,0.0265590083692852,Proline-rich extensin-like family protein;(source:Araport11)
"AT1G73220",6.61656270722046,-2.00397389918518,0.551742595223886,-3.63208118519835,0.000281144636440957,0.0297733659603159,Encodes Organic Cation Transporter 1 (OCT1), likely to be involved in polyamine transport.
"AT4G15370",3.44720751723163,3.74821546822345,1.04022764728599,3.60326461039826,0.000314245330078868,0.0323810819796653,Encodes an oxidosqualene cyclase that primarily produces the tetracyclic triterpene baruol in vitro and when expressed in yeast. It can also make 22 other minor triterpenoid products with varying numbers of rings.
"AT5G14470",13.3862522380649,1.41632913989171,0.402441000832166,3.51934603323973,0.000432612055822322,0.0411837893141717,GHMP kinase family protein;(source:Araport11)
"AT1G54095",3.83306849479543,-2.43925592254865,0.705169258213312,-3.45910700748497,0.000541969539032154,0.0498915757868096,DUF1677 family protein, putative (DUF1677);(source:Araport11)
"AT5G03170",14.7589456720806,-1.20394519342823,0.348087601502975,-3.45874196101737,0.000542704567586071,0.0498915757868096,Encodes FLA11, a member of fasciclin-like arabinogalactan proteins (FLAs) containing a cell adhesion fasciclin (FAS) domain. Mutations result in altered stem biomechanics with reduced tensile strength and reduced tensile modulus of elasticity, as well as altered cell wall architecture and composition, with increased cellulose microfibril angle, reduced arabinose, galactose and cellulose content.
"AT4G23700",21.7289135933076,-1.09245657709771,0.316141253576578,-3.45559639793445,0.000549076813528045,0.0502311539556339,member of Putative Na+/H+ antiporter family
"AT4G24340",3.33462083551224,3.63890087869863,1.06572153481871,3.41449502502325,0.000639003605035881,0.0559994093871164,Phosphorylase superfamily protein;(source:Araport11)
"AT2G44110",7.71257075105628,1.76829183030988,0.520224705802437,3.39909237409692,0.000676098773953515,0.0581631027831386,A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO15 belongs to the clade II, with ATMLO13 and ATMLO15. The gene is expressed during early seedling growth, in root tips and flower (papillae, anthers and pollen grains), as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s).
"AT1G11540",17.1201250356217,-1.04970099025556,0.310413714511475,-3.38161924291125,0.000720599500245204,0.061708324326934,Sulfite exporter TauE/SafE family protein;(source:Araport11)
"AT5G62480",14.5536696967853,-1.07560497866681,0.319128513845466,-3.37044460774088,0.000750469921554128,0.0628317540572595,Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002).
"AT3G60270",5.35085728601694,-1.88993628907832,0.561332953059945,-3.36687215453123,0.000760259244710728,0.0630880613951548,Cupredoxin superfamily protein;(source:Araport11)
"AT5G22410",11.7008471493236,1.34246657476987,0.399054611823634,3.36411742902795,0.000767888630911315,0.0631622078250473,root hair specific 18;(source:Araport11)
"AT5G62420",10.6420053857319,-1.35082120743027,0.401882167582233,-3.3612369903272,0.000775942165631089,0.0631928291491842,NAD(P)-linked oxidoreductase superfamily protein;(source:Araport11)
"AT5G61570",9.9568106947848,-1.32851305773977,0.396685748117079,-3.34903147906305,0.000810945814828329,0.0649934949200448,Protein kinase superfamily protein;(source:Araport11)
"AT5G03640",5.56603268556544,2.27664161476179,0.682747058434058,3.33453156134202,0.000854432034769286,0.0681873122555881,AGCVIII kinase involved in the pulse-induced first positive phototropism.
"AT4G20450",7.40673206976776,1.76115193241632,0.52904599155518,3.32892028392325,0.000871833540923599,0.0692812128240728,Leucine-rich repeat protein kinase family protein;(source:Araport11)
"AT5G33355",3.32888449962096,3.62864078695495,1.0961055614454,3.31048478776986,0.000931345143940071,0.0725550050657126,Encodes a defensin-like (DEFL) family protein.
"AT5G45105",3.74364185771989,-2.67685234362232,0.809247640748089,-3.30782841844033,0.000940223961732971,0.0728634718113229,zinc transporter 8 precursor;(source:Araport11)
"AT4G18630",11.4679629070828,-1.30353270234451,0.396106507536318,-3.29086414270785,0.000998801377625607,0.0770844487077804,hypothetical protein (DUF688);(source:Araport11)
"AT2G41850",4.3708027637286,2.75156694040335,0.838243314853669,3.28253967749649,0.00102876506720314,0.079071557665277,ADPG2.
"AT3G10710",24.1897530733622,1.03107165878373,0.315720828835216,3.26577015076151,0.00109166820007581,0.0809215234158964,root hair specific 12;(source:Araport11)
"AT3G04320",9.9349963851688,1.3824001856579,0.423792699657818,3.26197262664999,0.00110639826753738,0.081607613091511,Kunitz family trypsin and protease inhibitor protein;(source:Araport11)
"AT2G14820",16.3477918677474,1.07034922806594,0.330222997597563,3.24129220512484,0.00118989147310753,0.0858277872563794,A member of the NPY gene family (NPY1/AT4G31820, NPY2/AT2G14820, NPY3/AT5G67440, NPY4/AT2G23050, NPY5/AT4G37590).  Involved in auxin-mediated organogenesis.
"AT4G00080",9.53064400485477,1.45890066740866,0.451367703477109,3.23217779245176,0.00122850593906508,0.0879366426764373,Plant invertase/pectin methylesterase inhibitor superfamily protein;(source:Araport11)
"AT5G42590",5.88152168836799,-1.70194492676145,0.53019815211729,-3.21001670783822,0.00132727257183875,0.090845510263737,putative cytochrome P450
"AT3G27950",8.49662102446058,1.58590138215469,0.49522829062164,3.20236426752594,0.00136304517905116,0.0922835714365543,GDSL-motif  esterase/acyltransferase/lipase. Enzyme group with broad substrate specificity that may catalyze acyltransfer or hydrolase reactions with lipid and non-lipid substrates.
"AT5G45070",18.3728222041107,-1.07279435542007,0.338069972870108,-3.17329086139293,0.00150721445927505,0.099770240578095,phloem protein 2-A8;(source:Araport11)
